system_id,ligand_instance_chain,method,ranking_score,iface_iptm,correct,rmsd,lddt_pli,pb_valid,ligand_similarity,novelty_stratum,pocket_similarity,pocket_novelty_stratum,release_date,temporal_stratum,ligand_molecular_weight,ligand_num_heavy_atoms,ligand_num_rot_bonds,ifp_recall,ifp_jaccard,cluster,entry_pdb_id,morgan_tanimoto,sucos_shape_pocket_qcov,protein_seqsim_max,target_release_date,resolution,ligand_plddt_mean,ligand_plddt_min
7olj__1__1.A_1.B__1.E,1.E,af3,1.088465408897526,0.94,1,0.0762070268392562,0.9846860766410828,1.0,0.5384615384615384,1,0.6682123287671233,2,2021-12-08,0,259.066699656,18,2,1.0,1.0,c23,7olj,53.84615384615385,66.82123287671233,100.0,2012-06-13,,98.10944451226129,92.98999786376953
7om1__1__1.A_1.B__1.E,1.E,af3,1.087882599777426,0.945,1,0.111004814505577,0.9833333492279052,1.0,0.5675675675675675,1,0.7869053842132775,1,2021-12-08,0,231.035399528,16,1,0.9166666666666666,0.9166666666666666,c23,7om1,56.75675675675676,78.69053842132774,100.0,2012-06-13,,98.32687520980835,96.02999877929688
7ojo__1__1.A_1.B__1.E_1.F,1.E,af3,1.0838581778984977,0.93,1,0.2370052188634872,0.9789294004440308,1.0,0.2586206896551724,2,0.7656788042376951,1,2022-06-01,0,146.048012812,11,0,1.0,1.0,c170,7ojo,25.86206896551724,76.56788042376951,96.0,2013-08-14,,98.21727267178622,97.7699966430664
7ojo__1__1.A_1.B__1.E_1.F,1.F,af3,1.0838581778984977,0.92,1,0.5936585664749146,0.9079710245132446,1.0,0.3,2,0.92043178702351,0,2022-06-01,0,284.116092372,21,4,1.0,1.0,c170,7ojo,25.86206896551724,76.56788042376951,96.0,2013-08-14,,98.21727267178622,97.7699966430664
7zkx__1__1.A__1.B_1.L,1.B,af3,1.0829906981246502,0.97,1,1.3394930362701416,0.7986194491386414,0.0,0.18604651162790697,2,0.43823542079901523,3,2023-02-22,1,461.083699684,31,6,0.9047619047619048,0.8636363636363636,c1,7zkx,18.6046511627907,43.82354207990152,43.0,2009-01-27,,90.55483811901462,81.83999633789062
7o6x__1__1.A__1.E,1.E,af3,1.0807234173904423,0.93,1,0.269324392080307,0.972348153591156,1.0,0.7866666666666666,0,0.8749013712267643,0,2022-01-12,0,509.19755122800007,38,7,0.9523809523809523,0.9090909090909091,c225,7o6x,78.66666666666666,87.49013712267643,100.0,2020-07-08,,97.39421101620323,88.18000030517578
8b6m__1__1.A_1.B__1.E,1.E,af3,1.071225452770728,0.8999999999999999,1,1.0209332704544067,0.868626058101654,1.0,0.6533333333333333,1,0.6491508551749945,2,2023-10-11,2,553.178375344,40,9,0.9230769230769231,0.9230769230769231,c170,8b6m,65.33333333333333,64.91508551749945,96.0,2013-02-06,,92.84725036621094,79.83000183105469
7zzt__1__1.A__1.D_1.J,1.J,af3,1.0565636080714345,0.98,1,0.4173238575458526,0.9657227993011476,0.0,0.18867924528301888,2,0.5447793073067501,2,2022-09-21,1,233.16483971209,17,4,1.0,0.9473684210526315,c16,7zzt,,,,,,95.81235279756434,92.98999786376953
7zzu__1__1.A__1.M_1.P,1.P,af3,1.0563389356872497,0.98,1,0.4124922454357147,0.959189474582672,0.0,0.07954545454545454,3,0.5262290561543126,2,2022-09-21,1,361.19026035600007,27,3,1.0,0.9523809523809523,c16,7zzu,,,,,,95.7429628725405,89.93000030517578
8ck5__1__1.A__1.D,1.D,af3,1.0502707424791486,0.7949999999999999,1,0.5434992909431458,0.9405829310417176,1.0,0.39,1,0.9262629280589798,0,2023-04-26,2,445.31920885599993,32,7,1.0,1.0,c67,8ck5,39.0,92.62629280589798,86.0,2013-03-06,,97.60375046730042,89.94000244140625
8iqt__1__1.A__1.B,1.B,af3,1.0500214202417442,0.98,1,1.55400812625885,0.8055856823921204,1.0,0.44086021505376344,1,0.9658080543933056,0,2024-03-27,3,418.324708836,30,6,1.0,0.9285714285714286,c67,8iqt,44.086021505376344,96.58080543933056,100.0,2014-01-22,,97.85800043741862,90.30000305175781
8iqn__1__1.A__1.B,1.B,af3,1.0498535875802415,0.98,1,1.5138672590255735,0.7903987169265747,0.0,0.6338028169014085,1,0.9632963104812969,0,2024-03-27,3,436.315287024,31,6,1.0,0.9655172413793104,c67,8iqn,63.38028169014085,96.3296310481297,94.0,2004-04-13,,97.83064565350932,92.20999908447266
7f2m__1__1.A__1.C_1.D_1.E,1.E,af3,1.044757252192075,0.95,0,2.5628461837768555,0.665992796421051,1.0,0.38541666666666674,1,0.3980586231977777,3,2021-10-20,0,600.2159462359999,44,10,0.625,0.5555555555555556,c12,7f2m,,,,,,84.33477245677601,61.689998626708984
7zzw__1__1.A__1.I_1.L,1.L,af3,1.0382701434274957,0.95,1,1.81778883934021,0.870634913444519,0.0,0.12087912087912088,3,0.4748247718027494,3,2022-09-21,1,426.128110036,29,3,1.0,0.9523809523809523,c16,7zzw,,,,,,91.3093103869208,79.86000061035156
7f2l__1__1.A__1.C_1.D_1.E,1.E,af3,1.0380280984386925,0.95,0,2.132946252822876,0.7024272084236145,1.0,0.38541666666666674,1,0.44135888862348,3,2021-10-20,0,600.2159462359999,44,10,0.6818181818181818,0.6,c12,7f2l,,,,,,82.91090869903564,58.11000061035156
7zzs__1__1.A__1.D_1.J_1.L,1.J,af3,1.0352223301131036,0.96,1,0.6211921572685242,0.9530360698699952,0.0,1.0,0,0.5039344262295082,2,2022-09-21,1,264.1473925,19,8,0.8666666666666667,0.8666666666666667,c16,7zzs,,,,,,94.45052658884148,87.91000366210938
7zzs__1__1.A__1.D_1.J_1.L,1.L,af3,1.0352223301131036,0.93,1,1.279894471168518,0.8100000023841858,1.0,0.09,3,0.4552530710185727,3,2022-09-21,1,195.04509162,13,1,0.8666666666666667,0.8666666666666667,c16,7zzs,,,,,,94.45052658884148,87.91000366210938
7h1j__1__1.B__1.E,1.E,af3,1.0350058598918244,0.5,0,5.772967338562012,0.3330592215061188,1.0,0.16455696202531644,3,0.5714230366089396,2,2024-05-08,3,227.071306368,15,3,1.0,0.7692307692307693,c617,7h1j,16.455696202531644,57.14230366089396,78.0,2009-01-20,,58.42266616821289,52.38999938964844
7ur3__1__1.A__1.B,1.B,af3,1.0349926793016588,0.96,0,5.78627872467041,0.5101534128189087,1.0,0.5344827586206896,1,0.4568908000493435,3,2022-12-28,1,419.189671912,31,6,0.6956521739130435,0.6666666666666666,c107,7ur3,53.44827586206896,45.689080004934354,100.0,2010-09-01,,93.1106451711347,83.33999633789062
7lbv__1__1.A__1.B,1.B,af3,1.0300800751332275,0.98,1,0.1768575459718704,0.9857650995254515,1.0,1.0,0,0.8858088407678114,0,2021-12-08,0,291.095416504,20,5,1.0,1.0,c59,7lbv,100.0,88.58088407678115,66.0,2004-09-30,,97.725,95.98999786376953
7mnw__1__1.A__1.I_1.J,1.I,af3,1.025810008007988,0.93,1,0.2337324172258377,0.9752868413925172,1.0,1.0,0,0.9061148137587096,0,2022-06-15,0,522.0066444939998,32,8,1.0,0.9285714285714286,c10,7mnw,100.0,90.61148137587097,42.0,2017-07-19,,97.10500025749207,91.16999816894531
7f2k__1__1.A__1.C_1.D_1.E,1.E,af3,1.0254541905422587,0.92,1,1.5515787601470947,0.816301703453064,0.0,0.525,1,0.6315320709447577,2,2021-10-20,0,492.178417856,36,7,0.7222222222222222,0.7222222222222222,c12,7f2k,,,,,,82.57222165001764,55.22999954223633
7w4y__1__1.A__1.E,1.E,af3,1.0251560882356057,0.97,1,0.6888980865478516,0.9241666793823242,0.0,0.14423076923076922,3,0.5597358916380903,2,2022-03-16,0,356.209992756,26,4,0.8823529411764706,0.75,c12,7w4y,14.423076923076922,55.97358916380904,100.0,2020-09-23,,95.12461588932918,79.98999786376953
8jyg__1__1.A_1.B__1.C_1.Y,1.C,af3,1.0221796896602673,0.845,0,2.500760555267334,0.7801352739334106,1.0,0.11538461538461538,3,0.4360845479683075,3,2023-09-20,2,410.147786424,30,6,0.8235294117647058,0.8235294117647058,c947,8jyg,11.538461538461538,43.60845479683075,100.0,2015-11-18,,81.32899996439616,48.33000183105469
7q7c__1__1.A__1.B_1.C,1.C,af3,1.0221187396577107,0.97,1,0.3749557137489319,0.9721350073814392,1.0,1.0,0,0.8482849696431649,0,2022-11-16,1,427.0294149399999,27,6,0.9473684210526315,0.9473684210526315,c1,7q7c,,,,,,96.0225926151982,86.87999725341797
7lzr__1__1.A_1.B__1.H,1.H,af3,1.0203179347115692,0.955,1,0.6653783917427063,0.9560139179229736,1.0,0.20689655172413793,2,0.4262850866021273,3,2022-03-16,0,533.1578299280001,38,5,0.9473684210526315,0.9473684210526315,c173,7lzr,20.689655172413794,42.62850866021273,98.0,2020-11-25,,96.76526260375977,81.55999755859375
7p97__1__1.A__1.C_1.D_1.E,1.C,af3,1.0174745453897864,0.96,0,5.445271015167236,0.5591571927070618,0.0,0.40789473684210525,1,0.30001702052469686,3,2022-02-02,0,531.0403735479998,34,10,0.6538461538461539,0.5666666666666667,c961,7p97,40.78947368421053,30.001702052469685,37.0,2011-04-27,,96.43294121237362,88.41999816894531
8htg__1__1.A__1.F_1.G,1.G,af3,1.0148680803158536,0.98,1,0.2794524729251861,0.9716312289237976,1.0,1.0,0,0.9462407706757944,0,2023-12-20,3,538.9678164619999,32,8,1.0,1.0,c441,8htg,,,,,,97.22374963760376,89.48999786376953
7lff__1__1.A__1.C_1.D,1.C,af3,1.011874426402236,0.98,1,0.1855457127094268,0.9958487153053284,1.0,1.0,0,0.9134429022196429,0,2022-02-09,0,427.0294149399999,27,6,1.0,1.0,c102,7lff,100.0,91.34429022196429,68.0,2010-11-10,,91.02999990957754,83.27999877929688
8fen__1__1.A__1.B_1.C,1.C,af3,1.011737599974583,0.98,1,1.5638350248336792,0.6701434254646301,0.0,1.0,0,0.8389295931489196,0,2023-09-20,2,304.058302724,22,1,0.9375,0.7142857142857143,c234,8fen,100.0,72.41577651889098,77.0,2007-11-13,,97.54590849442916,94.7699966430664
8fen__1__1.A__1.B_1.C,1.B,af3,1.011737599974583,0.98,1,0.6842920780181885,0.9194630980491638,0.0,1.0,0,0.7241577651889098,1,2023-09-20,2,743.0754523260002,48,13,0.9375,0.7142857142857143,c234,8fen,100.0,72.41577651889098,77.0,2007-11-13,,97.54590849442916,94.7699966430664
8wdx__1__1.A__1.B,1.B,af3,1.0111773531610926,0.96,1,0.1866782903671264,0.9823943376541138,1.0,0.6585365853658537,1,0.9234450747808148,0,2023-12-27,3,337.086956432,24,4,0.9473684210526315,0.9473684210526315,c6,8wdx,65.85365853658537,92.34450747808148,100.0,2020-04-15,,98.11250019073486,95.20999908447266
8a0b__1__1.A__1.D_1.H,1.H,af3,1.0105170899860192,0.92,1,0.539374589920044,0.9490111470222472,0.0,0.15789473684210525,3,0.6181808191222049,2,2022-09-21,1,293.16483971209004,22,2,1.0,0.95,c16,8a0b,,,,,,88.00272785533558,81.5999984741211
8fh4__1__1.A__1.E,1.E,af3,1.0101900378530544,0.97,1,0.3521246016025543,0.8548387289047241,1.0,0.4657534246575342,1,0.7670095705275678,1,2023-04-05,2,422.162187036,30,2,0.9047619047619048,0.8260869565217391,c1,8fh4,46.57534246575342,76.70095705275678,43.0,2017-10-25,,96.6023328145345,91.20999908447266
8gpe__1__1.A__1.C_1.D_1.E,1.E,af3,1.0096898033459838,0.96,1,0.5295511484146118,0.9415178298950196,0.0,1.0,0,0.8536417479274724,0,2023-08-30,2,352.10929273999994,24,6,1.0,1.0,c159,8gpe,,,,,,91.77625020345052,78.76000213623047
7xnc__1__1.A__1.B,1.B,af3,1.0095141654557087,0.97,1,0.4238665401935577,0.9511207938194276,1.0,0.1891891891891892,2,0.5637602181797529,2,2023-03-01,1,398.15095365600007,28,4,0.9523809523809523,0.9090909090909091,c1,7xnc,18.91891891891892,56.376021817975285,52.0,2020-12-16,,96.5585708618164,91.9800033569336
8svl__1__1.A__1.B_1.C_1.G,1.C,af3,1.009046397427654,0.98,1,0.340333491563797,0.9726821184158324,1.0,0.5849056603773585,1,0.966236494597839,0,2024-04-24,3,394.15042719200005,28,5,1.0,1.0,c164,8svl,,,,,,92.87000056675502,79.01000213623047
